cost_estimate,latitude,longitude,borough,job_type,permit_type,job_number,bin_number,square_footage,permit_issuance_date,job_location_house_number,job_location_street_name,proposed_occupancy_class,proposed_stories,proposed_dwelling_units
282680,40.55688095,-73.92073059,Queens,NB,New Building,421619485,4466603,1910,10/18/2018,187,BEDFORD AVENUE,RESIDENTIAL: 1 & 2 FAMILY HOUSES,3,1
423280,40.55688095,-73.92073059,Queens,NB,New Building,421642084,4618615,2860,10/18/2018,107,BEACH 219 STREET,RESIDENTIAL: 1 & 2 FAMILY HOUSES,3,1
932400,40.62432098,-73.94226074,Brooklyn,NB,New Building,320913990,3208920,6300,10/18/2018,1281,EAST 34 STREET,RESIDENTIAL: 1 & 2 FAMILY HOUSES,3,1
29600,40.62432098,-73.94226074,Brooklyn,NB,New Building,320916666,3208920,200,10/18/2018,1281,EAST 34 STREET,UTILITY / MISCELLANEOUS,1,
316629,40.62475967,-73.95355225,Brooklyn,A1,ALT 1 Enlargement,321232368,3254329,404,10/18/2018,1052,EAST 23 STREET,RESIDENTIAL: 1 & 2 FAMILY HOUSES,3,1
926924,40.65877914,-73.9526062,Brooklyn,NB,New Building,321533818,3426771,6263,10/18/2018,293,FENIMORE STREET,RESIDENTIAL: APARTMENT HOUSES,4,8
1632440,40.69432068,-73.96868896,Brooklyn,NB,New Building,320943495,3835080,11030,10/18/2018,123,CLINTON AVE,RESIDENTIAL: APARTMENT HOUSES,4,9
5242300,40.73313904,-73.95588684,Brooklyn,A1,ALT 1 Enlargement,321186499,3064155,0,10/18/2018,139,HURON STREET,RESIDENTIAL: APARTMENT HOUSES,4,9
17500,40.57561111,-74.00222778,Brooklyn,A1,ALT 1 Enlargement,321184464,3255421,727,10/19/2018,2864,WEST 36TH STREET,RESIDENTIAL: 1 & 2 FAMILY HOUSES,3,1
150000,40.57567978,-74.00224304,Brooklyn,A1,ALT 1 Enlargement,321188004,3188697,740,10/19/2018,2860,WEST 36TH STREET,RESIDENTIAL: 1 & 2 FAMILY HOUSES,3,1
800000,40.62535858,-73.96302795,Brooklyn,A1,ALT 1 Enlargement,321743752,3179572,5362,10/19/2018,1309,AVENUE J,BUSINESS,2,
1970620,40.64836121,-73.95778656,Brooklyn,NB,New Building,320625230,3425582,13315,10/19/2018,949,FLATBUSH AVENUE,BUSINESS,5,
156584,40.8105011,-73.80238342,Bronx,NB,New Building,210177976,2079316,1058,10/19/2018,3089,ALAN PLACE,RESIDENTIAL: 1 & 2 FAMILY HOUSES,2,1
1250000,40.8645401,-73.86477661,Bronx,A1,ALT 1 Enlargement,220619953,2051401,0,10/19/2018,2513,WALLACE AVENUE,RESIDENTIAL: APARTMENT HOUSES,4,8
